Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
12/09/2020,02/01/2020,12/05/2020,AK,Anchorage Borough,2020,Medium metro,75,1798
12/09/2020,02/01/2020,12/05/2020,AK,Fairbanks North Star Borough,2090,Small metro,18,441
12/09/2020,02/01/2020,12/05/2020,AL,Autauga County,1001,Medium metro,35,433
12/09/2020,02/01/2020,12/05/2020,AL,Baldwin County,1003,Small metro,100,1924
12/09/2020,02/01/2020,12/05/2020,AL,Barbour County,1005,Noncore,17,239
12/09/2020,02/01/2020,12/05/2020,AL,Bibb County,1007,Large fringe metro,20,163
12/09/2020,02/01/2020,12/05/2020,AL,Blount County,1009,Large fringe metro,12,419
12/09/2020,02/01/2020,12/05/2020,AL,Butler County,1013,Noncore,27,196
12/09/2020,02/01/2020,12/05/2020,AL,Calhoun County,1015,Small metro,124,1351
12/09/2020,02/01/2020,12/05/2020,AL,Chambers County,1017,Micropolitan,11,319
12/09/2020,02/01/2020,12/05/2020,AL,Cherokee County,1019,Noncore,10,258
12/09/2020,02/01/2020,12/05/2020,AL,Chilton County,1021,Large fringe metro,19,348
12/09/2020,02/01/2020,12/05/2020,AL,Choctaw County,1023,Noncore,10,100
12/09/2020,02/01/2020,12/05/2020,AL,Clay County,1027,Noncore,31,163
12/09/2020,02/01/2020,12/05/2020,AL,Coffee County,1031,Micropolitan,20,454
12/09/2020,02/01/2020,12/05/2020,AL,Colbert County,1033,Small metro,59,555
12/09/2020,02/01/2020,12/05/2020,AL,Covington County,1039,Noncore,59,494
12/09/2020,02/01/2020,12/05/2020,AL,Crenshaw County,1041,Noncore,26,169
12/09/2020,02/01/2020,12/05/2020,AL,Cullman County,1043,Micropolitan,70,947
12/09/2020,02/01/2020,12/05/2020,AL,Dale County,1045,Micropolitan,54,407
12/09/2020,02/01/2020,12/05/2020,AL,Dallas County,1047,Micropolitan,53,413
12/09/2020,02/01/2020,12/05/2020,AL,DeKalb County,1049,Noncore,43,616
12/09/2020,02/01/2020,12/05/2020,AL,Elmore County,1051,Medium metro,37,580
12/09/2020,02/01/2020,12/05/2020,AL,Escambia County,1053,Noncore,22,326
12/09/2020,02/01/2020,12/05/2020,AL,Etowah County,1055,Small metro,165,1435
12/09/2020,02/01/2020,12/05/2020,AL,Franklin County,1059,Noncore,14,261
12/09/2020,02/01/2020,12/05/2020,AL,Geneva County,1061,Small metro,20,292
